Rank,Team,GP,Won,Lost,Pct.,Last playoff,Division
1,Baltimore Ravens,23,15,8,0.652,2014,AFC North
2,New England Patriots,54,34,20,0.63,2017,AFC East
3,Green Bay Packers,56,34,22,0.607,2016,NFC North
4,San Francisco 49ers,50,30,20,0.6,2013,NFC West
5,Pittsburgh Steelers,61,36,25,0.59,2017,AFC North
6,Oakland Raiders,44,25,19,0.568,2016,AFC West
7,Dallas Cowboys,61,34,27,0.557,2016,NFC East
8 (tie),Denver Broncos,42,23,19,0.548,2015,AFC West
8 (tie),Washington Redskins,42,23,19,0.548,2015,NFC East
10,Carolina Panthers,17,9,8,0.529,2017,NFC South
11,Seattle Seahawks,31,16,15,0.516,2016,NFC West
12,Philadelphia Eagles,43,22,21,0.512,2017,NFC East
13,Jacksonville Jaguars,14,7,7,0.5,2017,AFC South
